sex,region,year,births
Мужчины,Республика Калмыкия,2018,1576
Мужчины,Республика Калмыкия,2019,1430
Мужчины,Республика Калмыкия,2020,1420
Мужчины,Республика Крым,2015,12352
Мужчины,Республика Крым,2016,11828
Мужчины,Республика Крым,2017,10682
Мужчины,Республика Крым,2018,10389
Мужчины,Республика Крым,2019,9745
Мужчины,Республика Крым,2020,9644
Мужчины,Краснодарский край,2015,38062
Мужчины,Краснодарский край,2016,37465
Мужчины,Краснодарский край,2017,34557
Мужчины,Краснодарский край,2018,33504
Мужчины,Краснодарский край,2019,31520
Мужчины,Краснодарский край,2020,30513
Мужчины,Астраханская область,2015,7542
Мужчины,Астраханская область,2016,7401
Мужчины,Астраханская область,2017,6364
Мужчины,Астраханская область,2018,6137
Мужчины,Астраханская область,2019,5678
Мужчины,Астраханская область,2020,5732
Мужчины,Волгоградская область,2015,15200
Мужчины,Волгоградская область,2016,14501
Мужчины,Волгоградская область,2017,12966
Мужчины,Волгоградская область,2018,12157
Мужчины,Волгоградская область,2019,10769
Мужчины,Волгоградская область,2020,10162
Мужчины,Ростовская область,2015,26164
Мужчины,Ростовская область,2016,25054
Мужчины,Ростовская область,2017,22497
Мужчины,Ростовская область,2018,21252
Мужчины,Ростовская область,2019,19332
Мужчины,Ростовская область,2020,18539
Мужчины,Севастополь,2015,2792
Мужчины,Севастополь,2016,2746
Мужчины,Севастополь,2017,2521
Мужчины,Севастополь,2018,2332
Мужчины,Севастополь,2019,2160
